HitName
"ARROYAVE RUIZ, Elkin Alberto"
"ATENCIA PITALUA, Rafael Dario"
"BLANCO PUERTA, Edgar Fernando"
"BUITRAGO PARADA, Hector German"
"CASTANO GIL, Carlos"
"CASTANO GIL, Jose Vicente"
"CASTELLANOS GARZON, Henry"
"CIFUENTES GALINDO, Luis Eduardo"
"DUQUE GAVIRIA, Ivan Roberto"
"GIRALDO SERNA, Hernan"
"GOMEZ ALVAREZ, Sor Teresa"
"ISAZA ARANGO, Ramon Maria"
"MANCUSO GOMEZ, Salvatore"
"MARIN ARANGO, Luciano"
"MURILLO BEJARANO, Diego Fernando"
"AL-ZINDANI, Shaykh Abd-al-Majid"
"ABD AL-GHAFAR, Sundus"
"AL-DURI, Jawhar Majid"
"AL-RABI'I, Nidal"
"AL-TIKRITI, Ali Barzan Ibrahim Hasan"
"AL-TIKRITI, Ali Saddam Hussein"
"AL-TIKRITI, Hala Saddam Hussein"
"AL-TIKRITI, Khawla Barzan Ibrahim Hasan"
"AL-TIKRITI, Mohammad Barzan Ibrahim Hasan"
"AL-TIKRITI, Noor Barzan Ibrahim Hasan"
"AL-TIKRITI, Raghad Saddam Hussein"
"AL-TIKRITI, Rana Saddam Hussein"
"AL-TIKRITI, Saja Barzan Ibrahim Hasan"
"AL-TIKRITI, Thoraya Barzan Ibrahim Hasan"
"AL-UBAYDI, Intissar"
"SHAHBANDAR, Samira"
"TILFAH, Sajida Khayrallah"
"DERAMCHI, Othman"
"BENDEBKA, L'Hadi"
"DI ANNABA, Yacine"
"KIFANE, Abderrahmane"
"EL HEIT, Ali"
"HADDAD, Fethi Ben Assen Ben Salem"
"ABBES, Moustafa"
"ABBES, Youcef"
"AHMED, Adnan S. Hasan"
"AL OBAIDI, Tarik Nasser S."
"AL-QUBAYSI, Munir"
"BAHNAM, Hikmat Jarjes"
"DJERMANE, Kamel"
"BURHAN, Dr. Sahir"
"HAMUDAT, General Maki Mustafa"
"SHABAN, Adib"
"SLEWA, Roodi"
"ARELLANO FELIX, Eduardo Ramon"
"ARELLANO FELIX, Francisco Javier"
"NEMBHARD, Norris"
"NOORZAI, Haji Bashir"
"RAMCHARAN, Leebert"
"ZEVALLOS GONZALES, Fernando Melciades"
"MEJIA MAGNANI, John Yvan"
"ZEVALLOS GONZALES, Lupe Maritza"
"ZEVALLOS GONZALES, Milagros Angelina"
"AL-AQIL, Aqeel Abdulaziz Aqeeil"
"BARAKAT, Assad Ahmad"
"DARRAJI, Kamel"
"JAMMALI, Imed Ben Bechir Ben Hamda"
"LOUBIRI, Habib Ben Ahmed"
"TRABELSI, Chabaane Ben Mohamed"
"KRUNIC, Savo"
"PEJCIC, Mile"
"PETRIC, Zoran"
"BOUT, Viktor Anatolijevitch"
"RUPRAH, Sanjivan Singh"
"ABBAS, Abdul Hussein"
"AHMAD, Rasem"
"AHMAD, Wallid Issa"
"AL-AMIRI, Adnan Talib Hassim"
"AL-ATRUSH, Abd al-Wahhab Umar Mirza"
"AL-AZAWI, Dafir"
"AL-BAZZAZ, Hikmet Abdallah"
"AL-DAJANI, Leila N.S."
"AL-DAJANI, Nadim S."
"AL-DAJANI, Sa'ad"
"AL-HAMMADI, Hamid Yusif"
"AL-HUWAYSH, Isam Rashid"
"AL-JABBURI, Sadi Tuma Abbas"
"AL-KHODAIR, Ahmad Hussein"
"AL-MAJID, Hussein Kamel Hassan"
"AL-MALIKI, Shabib Lazem"
"AL-QASIR, Nazar Jumah Ali"
"AL-RIDA, Karim Hasan"
"AL-RUBA, Dr. Khadim"
"AL-SAHHAF, Muhammad Said Kazim"
"AL-ZIBARI, Arshad Muhammad Ahmad Muhammad"
"ALAWI, Abdel-Salam Abdel-Rahman"
"ALWAN, Allaidin Hussain"
"ATIA, Hachim K."
"DAGHIR, Ali Ashour"
"FARAJ, Samal Majid"
"FATTAH, Jum'a Abdul"
"HABIB, Mohammed Turki"
"JASIM, Latif Nusayyif"
"JON, Hana Paul"
"JUME'AN, George"
"KARAGHULLY, Labeed A."
"KHALIL, Dr. Ahmad Murtada Ahmad"
"MALIK, Assim Mohammed Rafiq Abdul"
"MOHAMED, Abdul Kader Ibrahim"
"MUBARAK, Umid Medhat"
"NAMAN, Saalim"
"OMRAN, Karim Dhaidas"
"RZOOKI, Hanna"
"SALIH, Abd al-Munim Ahmad"
"TALL, Aktham"
"ZAHRAN, Yousuf"
"ZAINAL, Akram"
"KUNFUTH, Abbas Khalaf"
"AL-TAMIMI, Muhannad Juma Y"
"AL-BUTHE, Soliman"
"SULAIMAN, Mohammed Ibrahim"
"MAKKI, Jaffar Ahmad Abdullah"
"ABBAKAR MUHAMAD, Abdul Aziz"
"AL-SUDANI, Khalid Ahmad Jumah"
"BUISIR, Ibrahim"
"HERNANDEZ ZEA, Luis Antonio"
"VELEZ RENGIFO, Piedad"
"ARCE JARAMILLO, Melba Rosa"
"LABRA AVILES, Jesus Abraham"
"HIGUERA GUERRERO, Gilberto"
"PEREZ PASUENGO, Efrain"
"AURELIANO FELIX, Jorge"
"YANEZ GUERRERO, Rigoberto"
"MARTINEZ DUARTE, Armando"
"AL-FAQIH, Saad Rashed Mohammad"
"BATARJEE, Adel Abdul Jalil Ibrahim"
"BRALO, Miroslav"
"DJORDJEVIC, Vlastimir"
"LAZAREVIC, Vladimir"
"LUKIC, Sreten"
"AL-FADHLI, Muhsin"
"MOHAMMAD, Haji Baz"
"SHALISH, Zuhayr"
"SHALISH, Asif"
"AHMAD, Muhammad Yunis"
"AL-HIYARI, Bilal Mansur"
"RUSDAN, Abu"
"SUMARSONO, Aris"
"AL-TIKRITI, Yasir Sabawi Ibrahim Hasan"
"AL-TIKRITI, Omar Sabawi Ibrahim Hasan"
"AL-TIKRITI, Ayman Sabawi Ibrahim Hasan"
"AL-TIKRITI, Ibrahim Sabawi Ibrahim Hasan"
"ARRIOLA MARQUEZ, Miguel Angel"
"ARRIOLA MARQUEZ, Oscar Arturo"
"WONG, Moon Chi"
"GAXIOLA MEDINA, Rigoberto"
"DIODATO DEL GALLO, Marco Marino"
"AL-TIKRITI, Bashar Sabawi Ibrahim Hasan"
"AL-TIKRITI, Sa'd Sabawi Ibrahim Hasan"
"EL BOUHALI, Ahmed"
"BOUGHANEMI, Faycal"
"LAAGOUB, Abdelkader"
"MELGOZA TORRES, Martin"
"ALTAMIRANO LOPEZ, Hector"
"SOTO GIL, Yolanda Esthela"
"MARTINEZ CASAS, Carlos Mario"
"TAPIA ORTEGA, Abigail"
"LOPEZ POBLANO, Beatriz Raquel"
"CARRERA YLLADES, Marisela"
"PEREZ CASTANO, Mario Alberto"
"HERNANDEZ MORENO, Arturo"
"ARRIOLA MARQUEZ, Edgar Fernando"
"ARRIOLA MARQUEZ, Luis Raul"
"LICON MUNOZ, Jorge Arturo"
"CARRASCO MIRANDA, Willebaldo"
"ARREOLA GOMEZ, Guadalupe Armando"
"ARRIOLA LUNA, Paola"
"MATANGA, Tandabantu Godwin"
"SALEH, Dr. Abdul Latif"
"AL-SIBA'I, Hani Muhammad Yusuf"
"AHMAD, Zaki Izzat Zaki"
"ABD AL-RAHMAN, Abdullah Muhammad Rajab"
"AL-ISLAMBULI, Muhammad Ahmad Shawqi"
"MUSTAFA BAKRI, Ali Sa'd Muhammad"
"UDOMDET, Ronnayut"
"CHARIAPAPORN, Hiran"
"JUNTARAPRAPORN, Aping"
"PHUANGPHET, Suwit"
"JANPRAPAPORN, Arin"
"KRADUMPORN, Somboon"
"KRADUMPORN, Varee"
"CHAIWORASIN, Wimonsi"
"CHAIWORASIN, Wilai"
"PICHAYOS, Winai"
"CHAIJAMROONPHAN, Warin"
"QUINTERO SANCLEMENTE, Ramon Alberto"
"SAHIRON, Radulan"
"HAPILON, Isnilon Totoni"
"RASHID, Ata Abdoulaziz"
"HUSSEIN, Mazen Ali"
"AHMAD, Farhad Kanabi"
"YOUSEF, Rafik Mohamad"
"IZZAT, Dieman Abdulkadir"
"KHALIL, Ibrahim Mohamed"
"AL-FAQIH, Abd al-Rahman"
"ABD'RABBAH, Ghuma"
"KHALED, Abdulbaqi Mohammed"
"NASUF, Tahir"
"BENHAMMEDI, Mohammed"
"HILAL, Musa"
"BADRI, Gabril Abdul Kareem"
"BA'ASYIR, Abu Bakar"
"GUNAWAN, Gun Gun Rusman"
"RIFKI, Taufik"
"ANSHORI, Abdullah"
"STEIGER, Jakob"
"EL HASSAN, Gaffar Mohmed"
"ZAHHAR, Mahmoud Khaled"
"HAMMAD, Fathi Ahmad Mohammad"
"NAWAY, Haji Ali"
"JAMIL GEORGES, Fahd"
"IBRAHIM, Dawood"
"LUKASHENKA, Alyaksandr Ryhorovich"
"HALAVANAU, Viktar Hryhoryavich"
"ZIMOUSKY, Aliaksandr Leanidavich"
"SUKHARENKA, Stiapan Mikalayevich"
"PAULICHENKA, Dzmitry Valeryevich"
"SHEIMAN, Viktar Uladzimiravich"
"YARMOSHINA, Lidziya Mihaulauna"
"PIATKEVICH, Natallia Uladzimirauna"
"LUKASHENKA, Viktar Aliaksandravich"
"NAUMAU, Uladzimir Uladzimiravich"
"AL-MUJIL, Abd Al Hamid Sulaiman Muhammed"
"'ABD AL-RAZZIQ, Abu Sufian al-Salamabi Muhammed Ahmed"
"AL-SHAMI, Husayn"
"HERNANDEZ SOMERO, Urbano"
"URIBE URIBE, Miguel Angel"
"JIMENEZ PEREZ, Jose Julian Bruno"
"PELAYO MENDOZA, Franco Arturo"
"GOMEZ BUSTAMANTE, Wilmer de Jesus"
"GIRALDO FRANCO, Juan Carlos"
"ROJAS FRANCO, Jaime"
"CANO ALZATE, Yolanda Sofia"
"PATINO RESTREPO, Carlos Arturo"
"GOMEZ BUSTAMANTE, Luis Alfonso"
"CANO CORREA, Jhon Eidelber"
"AHMAD, Najmuddin Faraj"
"AL-ALI, Hamid"
"AL-JALAMAH, Jaber"
"AL-BATHALI, Mubarak Mushakhas Sanad"
"POPOV, Dimitri Igorevich"
